,Date_in_proper_format,RoughType,RoughSize,PolishSize
0,2024-01-01,COL(YB),2-4CT,0.70-1.699
1,2024-01-01,COL(YB),2-4CT,0.30-0.499
2,2024-01-01,COL(YB),2-4CT,1.70 Up
3,2024-01-01,COL(YB),2-4CT,0.50-0.699
4,2024-01-01,COL(YB),2-4CT,0.30 Dn
5,2024-01-01,COL(YB),5-10CT,0.70-1.699
6,2024-01-01,COL(YB),5-10CT,0.30-0.499
7,2024-01-01,COL(YB),5-10CT,1.70 Up
8,2024-01-01,COL(YB),5-10CT,0.50-0.699
9,2024-01-01,COL(YB),5-10CT,0.30 Dn
10,2024-01-01,COL(YB),10.8,0.70-1.699
11,2024-01-01,COL(YB),10.8,0.30-0.499
12,2024-01-01,COL(YB),10.8,1.70 Up
13,2024-01-01,COL(YB),10.8,0.50-0.699
14,2024-01-01,COL(YB),10.8,0.30 Dn
15,2024-01-01,COL(YB),-3Grs,0.70-1.699
16,2024-01-01,COL(YB),-3Grs,0.30-0.499
17,2024-01-01,COL(YB),-3Grs,1.70 Up
18,2024-01-01,COL(YB),-3Grs,0.50-0.699
19,2024-01-01,COL(YB),-3Grs,0.30 Dn
20,2024-01-01,COL(YB),4-6Grs,0.70-1.699
21,2024-01-01,COL(YB),4-6Grs,0.30-0.499
22,2024-01-01,COL(YB),4-6Grs,1.70 Up
23,2024-01-01,COL(YB),4-6Grs,0.50-0.699
24,2024-01-01,COL(YB),4-6Grs,0.30 Dn
25,2024-01-01,MKBL,2-4CT,0.70-1.699
26,2024-01-01,MKBL,2-4CT,0.30-0.499
27,2024-01-01,MKBL,2-4CT,1.70 Up
28,2024-01-01,MKBL,2-4CT,0.50-0.699
29,2024-01-01,MKBL,2-4CT,0.30 Dn
30,2024-01-01,MKBL,5-10CT,0.70-1.699
31,2024-01-01,MKBL,5-10CT,0.30-0.499
32,2024-01-01,MKBL,5-10CT,1.70 Up
33,2024-01-01,MKBL,5-10CT,0.50-0.699
34,2024-01-01,MKBL,5-10CT,0.30 Dn
35,2024-01-01,MKBL,10.8,0.70-1.699
36,2024-01-01,MKBL,10.8,0.30-0.499
37,2024-01-01,MKBL,10.8,1.70 Up
38,2024-01-01,MKBL,10.8,0.50-0.699
39,2024-01-01,MKBL,10.8,0.30 Dn
40,2024-01-01,MKBL,-3Grs,0.70-1.699
41,2024-01-01,MKBL,-3Grs,0.30-0.499
42,2024-01-01,MKBL,-3Grs,1.70 Up
43,2024-01-01,MKBL,-3Grs,0.50-0.699
44,2024-01-01,MKBL,-3Grs,0.30 Dn
45,2024-01-01,MKBL,4-6Grs,0.70-1.699
46,2024-01-01,MKBL,4-6Grs,0.30-0.499
47,2024-01-01,MKBL,4-6Grs,1.70 Up
48,2024-01-01,MKBL,4-6Grs,0.50-0.699
49,2024-01-01,MKBL,4-6Grs,0.30 Dn
50,2024-01-01,CLIV,2-4CT,0.70-1.699
51,2024-01-01,CLIV,2-4CT,0.30-0.499
52,2024-01-01,CLIV,2-4CT,1.70 Up
53,2024-01-01,CLIV,2-4CT,0.50-0.699
54,2024-01-01,CLIV,2-4CT,0.30 Dn
55,2024-01-01,CLIV,5-10CT,0.70-1.699
56,2024-01-01,CLIV,5-10CT,0.30-0.499
57,2024-01-01,CLIV,5-10CT,1.70 Up
58,2024-01-01,CLIV,5-10CT,0.50-0.699
59,2024-01-01,CLIV,5-10CT,0.30 Dn
60,2024-01-01,CLIV,10.8,0.70-1.699
61,2024-01-01,CLIV,10.8,0.30-0.499
62,2024-01-01,CLIV,10.8,1.70 Up
63,2024-01-01,CLIV,10.8,0.50-0.699
64,2024-01-01,CLIV,10.8,0.30 Dn
65,2024-01-01,CLIV,-3Grs,0.70-1.699
66,2024-01-01,CLIV,-3Grs,0.30-0.499
67,2024-01-01,CLIV,-3Grs,1.70 Up
68,2024-01-01,CLIV,-3Grs,0.50-0.699
69,2024-01-01,CLIV,-3Grs,0.30 Dn
70,2024-01-01,CLIV,4-6Grs,0.70-1.699
71,2024-01-01,CLIV,4-6Grs,0.30-0.499
72,2024-01-01,CLIV,4-6Grs,1.70 Up
73,2024-01-01,CLIV,4-6Grs,0.50-0.699
74,2024-01-01,CLIV,4-6Grs,0.30 Dn
75,2024-01-01,SINGLE,2-4CT,0.70-1.699
76,2024-01-01,SINGLE,2-4CT,0.30-0.499
77,2024-01-01,SINGLE,2-4CT,1.70 Up
78,2024-01-01,SINGLE,2-4CT,0.50-0.699
79,2024-01-01,SINGLE,2-4CT,0.30 Dn
80,2024-01-01,SINGLE,5-10CT,0.70-1.699
81,2024-01-01,SINGLE,5-10CT,0.30-0.499
82,2024-01-01,SINGLE,5-10CT,1.70 Up
83,2024-01-01,SINGLE,5-10CT,0.50-0.699
84,2024-01-01,SINGLE,5-10CT,0.30 Dn
85,2024-01-01,SINGLE,10.8,0.70-1.699
86,2024-01-01,SINGLE,10.8,0.30-0.499
87,2024-01-01,SINGLE,10.8,1.70 Up
88,2024-01-01,SINGLE,10.8,0.50-0.699
89,2024-01-01,SINGLE,10.8,0.30 Dn
90,2024-01-01,SINGLE,-3Grs,0.70-1.699
91,2024-01-01,SINGLE,-3Grs,0.30-0.499
92,2024-01-01,SINGLE,-3Grs,1.70 Up
93,2024-01-01,SINGLE,-3Grs,0.50-0.699
94,2024-01-01,SINGLE,-3Grs,0.30 Dn
95,2024-01-01,SINGLE,4-6Grs,0.70-1.699
96,2024-01-01,SINGLE,4-6Grs,0.30-0.499
97,2024-01-01,SINGLE,4-6Grs,1.70 Up
98,2024-01-01,SINGLE,4-6Grs,0.50-0.699
99,2024-01-01,SINGLE,4-6Grs,0.30 Dn
100,2024-01-01,M.CLIV,2-4CT,0.70-1.699
101,2024-01-01,M.CLIV,2-4CT,0.30-0.499
102,2024-01-01,M.CLIV,2-4CT,1.70 Up
103,2024-01-01,M.CLIV,2-4CT,0.50-0.699
104,2024-01-01,M.CLIV,2-4CT,0.30 Dn
105,2024-01-01,M.CLIV,5-10CT,0.70-1.699
106,2024-01-01,M.CLIV,5-10CT,0.30-0.499
107,2024-01-01,M.CLIV,5-10CT,1.70 Up
108,2024-01-01,M.CLIV,5-10CT,0.50-0.699
109,2024-01-01,M.CLIV,5-10CT,0.30 Dn
110,2024-01-01,M.CLIV,10.8,0.70-1.699
111,2024-01-01,M.CLIV,10.8,0.30-0.499
112,2024-01-01,M.CLIV,10.8,1.70 Up
113,2024-01-01,M.CLIV,10.8,0.50-0.699
114,2024-01-01,M.CLIV,10.8,0.30 Dn
115,2024-01-01,M.CLIV,-3Grs,0.70-1.699
116,2024-01-01,M.CLIV,-3Grs,0.30-0.499
117,2024-01-01,M.CLIV,-3Grs,1.70 Up
118,2024-01-01,M.CLIV,-3Grs,0.50-0.699
119,2024-01-01,M.CLIV,-3Grs,0.30 Dn
120,2024-01-01,M.CLIV,4-6Grs,0.70-1.699
121,2024-01-01,M.CLIV,4-6Grs,0.30-0.499
122,2024-01-01,M.CLIV,4-6Grs,1.70 Up
123,2024-01-01,M.CLIV,4-6Grs,0.50-0.699
124,2024-01-01,M.CLIV,4-6Grs,0.30 Dn
125,2024-01-01,SWBL,2-4CT,0.70-1.699
126,2024-01-01,SWBL,2-4CT,0.30-0.499
127,2024-01-01,SWBL,2-4CT,1.70 Up
128,2024-01-01,SWBL,2-4CT,0.50-0.699
129,2024-01-01,SWBL,2-4CT,0.30 Dn
130,2024-01-01,SWBL,5-10CT,0.70-1.699
131,2024-01-01,SWBL,5-10CT,0.30-0.499
132,2024-01-01,SWBL,5-10CT,1.70 Up
133,2024-01-01,SWBL,5-10CT,0.50-0.699
134,2024-01-01,SWBL,5-10CT,0.30 Dn
135,2024-01-01,SWBL,10.8,0.70-1.699
136,2024-01-01,SWBL,10.8,0.30-0.499
137,2024-01-01,SWBL,10.8,1.70 Up
138,2024-01-01,SWBL,10.8,0.50-0.699
139,2024-01-01,SWBL,10.8,0.30 Dn
140,2024-01-01,SWBL,-3Grs,0.70-1.699
141,2024-01-01,SWBL,-3Grs,0.30-0.499
142,2024-01-01,SWBL,-3Grs,1.70 Up
143,2024-01-01,SWBL,-3Grs,0.50-0.699
144,2024-01-01,SWBL,-3Grs,0.30 Dn
145,2024-01-01,SWBL,4-6Grs,0.70-1.699
146,2024-01-01,SWBL,4-6Grs,0.30-0.499
147,2024-01-01,SWBL,4-6Grs,1.70 Up
148,2024-01-01,SWBL,4-6Grs,0.50-0.699
149,2024-01-01,SWBL,4-6Grs,0.30 Dn
150,2024-01-01,MIX,2-4CT,0.70-1.699
151,2024-01-01,MIX,2-4CT,0.30-0.499
152,2024-01-01,MIX,2-4CT,1.70 Up
153,2024-01-01,MIX,2-4CT,0.50-0.699
154,2024-01-01,MIX,2-4CT,0.30 Dn
155,2024-01-01,MIX,5-10CT,0.70-1.699
156,2024-01-01,MIX,5-10CT,0.30-0.499
157,2024-01-01,MIX,5-10CT,1.70 Up
158,2024-01-01,MIX,5-10CT,0.50-0.699
159,2024-01-01,MIX,5-10CT,0.30 Dn
160,2024-01-01,MIX,10.8,0.70-1.699
161,2024-01-01,MIX,10.8,0.30-0.499
162,2024-01-01,MIX,10.8,1.70 Up
163,2024-01-01,MIX,10.8,0.50-0.699
164,2024-01-01,MIX,10.8,0.30 Dn
165,2024-01-01,MIX,-3Grs,0.70-1.699
166,2024-01-01,MIX,-3Grs,0.30-0.499
167,2024-01-01,MIX,-3Grs,1.70 Up
168,2024-01-01,MIX,-3Grs,0.50-0.699
169,2024-01-01,MIX,-3Grs,0.30 Dn
170,2024-01-01,MIX,4-6Grs,0.70-1.699
171,2024-01-01,MIX,4-6Grs,0.30-0.499
172,2024-01-01,MIX,4-6Grs,1.70 Up
173,2024-01-01,MIX,4-6Grs,0.50-0.699
174,2024-01-01,MIX,4-6Grs,0.30 Dn
175,2024-01-01,S CLIV,2-4CT,0.70-1.699
176,2024-01-01,S CLIV,2-4CT,0.30-0.499
177,2024-01-01,S CLIV,2-4CT,1.70 Up
178,2024-01-01,S CLIV,2-4CT,0.50-0.699
179,2024-01-01,S CLIV,2-4CT,0.30 Dn
180,2024-01-01,S CLIV,5-10CT,0.70-1.699
181,2024-01-01,S CLIV,5-10CT,0.30-0.499
182,2024-01-01,S CLIV,5-10CT,1.70 Up
183,2024-01-01,S CLIV,5-10CT,0.50-0.699
184,2024-01-01,S CLIV,5-10CT,0.30 Dn
185,2024-01-01,S CLIV,10.8,0.70-1.699
186,2024-01-01,S CLIV,10.8,0.30-0.499
187,2024-01-01,S CLIV,10.8,1.70 Up
188,2024-01-01,S CLIV,10.8,0.50-0.699
189,2024-01-01,S CLIV,10.8,0.30 Dn
190,2024-01-01,S CLIV,-3Grs,0.70-1.699
191,2024-01-01,S CLIV,-3Grs,0.30-0.499
192,2024-01-01,S CLIV,-3Grs,1.70 Up
193,2024-01-01,S CLIV,-3Grs,0.50-0.699
194,2024-01-01,S CLIV,-3Grs,0.30 Dn
195,2024-01-01,S CLIV,4-6Grs,0.70-1.699
196,2024-01-01,S CLIV,4-6Grs,0.30-0.499
197,2024-01-01,S CLIV,4-6Grs,1.70 Up
198,2024-01-01,S CLIV,4-6Grs,0.50-0.699
199,2024-01-01,S CLIV,4-6Grs,0.30 Dn
200,2024-02-01,COL(YB),2-4CT,0.70-1.699
201,2024-02-01,COL(YB),2-4CT,0.30-0.499
202,2024-02-01,COL(YB),2-4CT,1.70 Up
203,2024-02-01,COL(YB),2-4CT,0.50-0.699
204,2024-02-01,COL(YB),2-4CT,0.30 Dn
205,2024-02-01,COL(YB),5-10CT,0.70-1.699
206,2024-02-01,COL(YB),5-10CT,0.30-0.499
207,2024-02-01,COL(YB),5-10CT,1.70 Up
208,2024-02-01,COL(YB),5-10CT,0.50-0.699
209,2024-02-01,COL(YB),5-10CT,0.30 Dn
210,2024-02-01,COL(YB),10.8,0.70-1.699
211,2024-02-01,COL(YB),10.8,0.30-0.499
212,2024-02-01,COL(YB),10.8,1.70 Up
213,2024-02-01,COL(YB),10.8,0.50-0.699
214,2024-02-01,COL(YB),10.8,0.30 Dn
215,2024-02-01,COL(YB),-3Grs,0.70-1.699
216,2024-02-01,COL(YB),-3Grs,0.30-0.499
217,2024-02-01,COL(YB),-3Grs,1.70 Up
218,2024-02-01,COL(YB),-3Grs,0.50-0.699
219,2024-02-01,COL(YB),-3Grs,0.30 Dn
220,2024-02-01,COL(YB),4-6Grs,0.70-1.699
221,2024-02-01,COL(YB),4-6Grs,0.30-0.499
222,2024-02-01,COL(YB),4-6Grs,1.70 Up
223,2024-02-01,COL(YB),4-6Grs,0.50-0.699
224,2024-02-01,COL(YB),4-6Grs,0.30 Dn
225,2024-02-01,MKBL,2-4CT,0.70-1.699
226,2024-02-01,MKBL,2-4CT,0.30-0.499
227,2024-02-01,MKBL,2-4CT,1.70 Up
228,2024-02-01,MKBL,2-4CT,0.50-0.699
229,2024-02-01,MKBL,2-4CT,0.30 Dn
230,2024-02-01,MKBL,5-10CT,0.70-1.699
231,2024-02-01,MKBL,5-10CT,0.30-0.499
232,2024-02-01,MKBL,5-10CT,1.70 Up
233,2024-02-01,MKBL,5-10CT,0.50-0.699
234,2024-02-01,MKBL,5-10CT,0.30 Dn
235,2024-02-01,MKBL,10.8,0.70-1.699
236,2024-02-01,MKBL,10.8,0.30-0.499
237,2024-02-01,MKBL,10.8,1.70 Up
238,2024-02-01,MKBL,10.8,0.50-0.699
239,2024-02-01,MKBL,10.8,0.30 Dn
240,2024-02-01,MKBL,-3Grs,0.70-1.699
241,2024-02-01,MKBL,-3Grs,0.30-0.499
242,2024-02-01,MKBL,-3Grs,1.70 Up
243,2024-02-01,MKBL,-3Grs,0.50-0.699
244,2024-02-01,MKBL,-3Grs,0.30 Dn
245,2024-02-01,MKBL,4-6Grs,0.70-1.699
246,2024-02-01,MKBL,4-6Grs,0.30-0.499
247,2024-02-01,MKBL,4-6Grs,1.70 Up
248,2024-02-01,MKBL,4-6Grs,0.50-0.699
249,2024-02-01,MKBL,4-6Grs,0.30 Dn
250,2024-02-01,CLIV,2-4CT,0.70-1.699
251,2024-02-01,CLIV,2-4CT,0.30-0.499
252,2024-02-01,CLIV,2-4CT,1.70 Up
253,2024-02-01,CLIV,2-4CT,0.50-0.699
254,2024-02-01,CLIV,2-4CT,0.30 Dn
255,2024-02-01,CLIV,5-10CT,0.70-1.699
256,2024-02-01,CLIV,5-10CT,0.30-0.499
257,2024-02-01,CLIV,5-10CT,1.70 Up
258,2024-02-01,CLIV,5-10CT,0.50-0.699
259,2024-02-01,CLIV,5-10CT,0.30 Dn
260,2024-02-01,CLIV,10.8,0.70-1.699
261,2024-02-01,CLIV,10.8,0.30-0.499
262,2024-02-01,CLIV,10.8,1.70 Up
263,2024-02-01,CLIV,10.8,0.50-0.699
264,2024-02-01,CLIV,10.8,0.30 Dn
265,2024-02-01,CLIV,-3Grs,0.70-1.699
266,2024-02-01,CLIV,-3Grs,0.30-0.499
267,2024-02-01,CLIV,-3Grs,1.70 Up
268,2024-02-01,CLIV,-3Grs,0.50-0.699
269,2024-02-01,CLIV,-3Grs,0.30 Dn
270,2024-02-01,CLIV,4-6Grs,0.70-1.699
271,2024-02-01,CLIV,4-6Grs,0.30-0.499
272,2024-02-01,CLIV,4-6Grs,1.70 Up
273,2024-02-01,CLIV,4-6Grs,0.50-0.699
274,2024-02-01,CLIV,4-6Grs,0.30 Dn
275,2024-02-01,SINGLE,2-4CT,0.70-1.699
276,2024-02-01,SINGLE,2-4CT,0.30-0.499
277,2024-02-01,SINGLE,2-4CT,1.70 Up
278,2024-02-01,SINGLE,2-4CT,0.50-0.699
279,2024-02-01,SINGLE,2-4CT,0.30 Dn
280,2024-02-01,SINGLE,5-10CT,0.70-1.699
281,2024-02-01,SINGLE,5-10CT,0.30-0.499
282,2024-02-01,SINGLE,5-10CT,1.70 Up
283,2024-02-01,SINGLE,5-10CT,0.50-0.699
284,2024-02-01,SINGLE,5-10CT,0.30 Dn
285,2024-02-01,SINGLE,10.8,0.70-1.699
286,2024-02-01,SINGLE,10.8,0.30-0.499
287,2024-02-01,SINGLE,10.8,1.70 Up
288,2024-02-01,SINGLE,10.8,0.50-0.699
289,2024-02-01,SINGLE,10.8,0.30 Dn
290,2024-02-01,SINGLE,-3Grs,0.70-1.699
291,2024-02-01,SINGLE,-3Grs,0.30-0.499
292,2024-02-01,SINGLE,-3Grs,1.70 Up
293,2024-02-01,SINGLE,-3Grs,0.50-0.699
294,2024-02-01,SINGLE,-3Grs,0.30 Dn
295,2024-02-01,SINGLE,4-6Grs,0.70-1.699
296,2024-02-01,SINGLE,4-6Grs,0.30-0.499
297,2024-02-01,SINGLE,4-6Grs,1.70 Up
298,2024-02-01,SINGLE,4-6Grs,0.50-0.699
299,2024-02-01,SINGLE,4-6Grs,0.30 Dn
300,2024-02-01,M.CLIV,2-4CT,0.70-1.699
301,2024-02-01,M.CLIV,2-4CT,0.30-0.499
302,2024-02-01,M.CLIV,2-4CT,1.70 Up
303,2024-02-01,M.CLIV,2-4CT,0.50-0.699
304,2024-02-01,M.CLIV,2-4CT,0.30 Dn
305,2024-02-01,M.CLIV,5-10CT,0.70-1.699
306,2024-02-01,M.CLIV,5-10CT,0.30-0.499
307,2024-02-01,M.CLIV,5-10CT,1.70 Up
308,2024-02-01,M.CLIV,5-10CT,0.50-0.699
309,2024-02-01,M.CLIV,5-10CT,0.30 Dn
310,2024-02-01,M.CLIV,10.8,0.70-1.699
311,2024-02-01,M.CLIV,10.8,0.30-0.499
312,2024-02-01,M.CLIV,10.8,1.70 Up
313,2024-02-01,M.CLIV,10.8,0.50-0.699
314,2024-02-01,M.CLIV,10.8,0.30 Dn
315,2024-02-01,M.CLIV,-3Grs,0.70-1.699
316,2024-02-01,M.CLIV,-3Grs,0.30-0.499
317,2024-02-01,M.CLIV,-3Grs,1.70 Up
318,2024-02-01,M.CLIV,-3Grs,0.50-0.699
319,2024-02-01,M.CLIV,-3Grs,0.30 Dn
320,2024-02-01,M.CLIV,4-6Grs,0.70-1.699
321,2024-02-01,M.CLIV,4-6Grs,0.30-0.499
322,2024-02-01,M.CLIV,4-6Grs,1.70 Up
323,2024-02-01,M.CLIV,4-6Grs,0.50-0.699
324,2024-02-01,M.CLIV,4-6Grs,0.30 Dn
325,2024-02-01,SWBL,2-4CT,0.70-1.699
326,2024-02-01,SWBL,2-4CT,0.30-0.499
327,2024-02-01,SWBL,2-4CT,1.70 Up
328,2024-02-01,SWBL,2-4CT,0.50-0.699
329,2024-02-01,SWBL,2-4CT,0.30 Dn
330,2024-02-01,SWBL,5-10CT,0.70-1.699
331,2024-02-01,SWBL,5-10CT,0.30-0.499
332,2024-02-01,SWBL,5-10CT,1.70 Up
333,2024-02-01,SWBL,5-10CT,0.50-0.699
334,2024-02-01,SWBL,5-10CT,0.30 Dn
335,2024-02-01,SWBL,10.8,0.70-1.699
336,2024-02-01,SWBL,10.8,0.30-0.499
337,2024-02-01,SWBL,10.8,1.70 Up
338,2024-02-01,SWBL,10.8,0.50-0.699
339,2024-02-01,SWBL,10.8,0.30 Dn
340,2024-02-01,SWBL,-3Grs,0.70-1.699
341,2024-02-01,SWBL,-3Grs,0.30-0.499
342,2024-02-01,SWBL,-3Grs,1.70 Up
343,2024-02-01,SWBL,-3Grs,0.50-0.699
344,2024-02-01,SWBL,-3Grs,0.30 Dn
345,2024-02-01,SWBL,4-6Grs,0.70-1.699
346,2024-02-01,SWBL,4-6Grs,0.30-0.499
347,2024-02-01,SWBL,4-6Grs,1.70 Up
348,2024-02-01,SWBL,4-6Grs,0.50-0.699
349,2024-02-01,SWBL,4-6Grs,0.30 Dn
350,2024-02-01,MIX,2-4CT,0.70-1.699
351,2024-02-01,MIX,2-4CT,0.30-0.499
352,2024-02-01,MIX,2-4CT,1.70 Up
353,2024-02-01,MIX,2-4CT,0.50-0.699
354,2024-02-01,MIX,2-4CT,0.30 Dn
355,2024-02-01,MIX,5-10CT,0.70-1.699
356,2024-02-01,MIX,5-10CT,0.30-0.499
357,2024-02-01,MIX,5-10CT,1.70 Up
358,2024-02-01,MIX,5-10CT,0.50-0.699
359,2024-02-01,MIX,5-10CT,0.30 Dn
360,2024-02-01,MIX,10.8,0.70-1.699
361,2024-02-01,MIX,10.8,0.30-0.499
362,2024-02-01,MIX,10.8,1.70 Up
363,2024-02-01,MIX,10.8,0.50-0.699
364,2024-02-01,MIX,10.8,0.30 Dn
365,2024-02-01,MIX,-3Grs,0.70-1.699
366,2024-02-01,MIX,-3Grs,0.30-0.499
367,2024-02-01,MIX,-3Grs,1.70 Up
368,2024-02-01,MIX,-3Grs,0.50-0.699
369,2024-02-01,MIX,-3Grs,0.30 Dn
370,2024-02-01,MIX,4-6Grs,0.70-1.699
371,2024-02-01,MIX,4-6Grs,0.30-0.499
372,2024-02-01,MIX,4-6Grs,1.70 Up
373,2024-02-01,MIX,4-6Grs,0.50-0.699
374,2024-02-01,MIX,4-6Grs,0.30 Dn
375,2024-02-01,S CLIV,2-4CT,0.70-1.699
376,2024-02-01,S CLIV,2-4CT,0.30-0.499
377,2024-02-01,S CLIV,2-4CT,1.70 Up
378,2024-02-01,S CLIV,2-4CT,0.50-0.699
379,2024-02-01,S CLIV,2-4CT,0.30 Dn
380,2024-02-01,S CLIV,5-10CT,0.70-1.699
381,2024-02-01,S CLIV,5-10CT,0.30-0.499
382,2024-02-01,S CLIV,5-10CT,1.70 Up
383,2024-02-01,S CLIV,5-10CT,0.50-0.699
384,2024-02-01,S CLIV,5-10CT,0.30 Dn
385,2024-02-01,S CLIV,10.8,0.70-1.699
386,2024-02-01,S CLIV,10.8,0.30-0.499
387,2024-02-01,S CLIV,10.8,1.70 Up
388,2024-02-01,S CLIV,10.8,0.50-0.699
389,2024-02-01,S CLIV,10.8,0.30 Dn
390,2024-02-01,S CLIV,-3Grs,0.70-1.699
391,2024-02-01,S CLIV,-3Grs,0.30-0.499
392,2024-02-01,S CLIV,-3Grs,1.70 Up
393,2024-02-01,S CLIV,-3Grs,0.50-0.699
394,2024-02-01,S CLIV,-3Grs,0.30 Dn
395,2024-02-01,S CLIV,4-6Grs,0.70-1.699
396,2024-02-01,S CLIV,4-6Grs,0.30-0.499
397,2024-02-01,S CLIV,4-6Grs,1.70 Up
398,2024-02-01,S CLIV,4-6Grs,0.50-0.699
399,2024-02-01,S CLIV,4-6Grs,0.30 Dn
400,2024-03-01,COL(YB),2-4CT,0.70-1.699
401,2024-03-01,COL(YB),2-4CT,0.30-0.499
402,2024-03-01,COL(YB),2-4CT,1.70 Up
403,2024-03-01,COL(YB),2-4CT,0.50-0.699
404,2024-03-01,COL(YB),2-4CT,0.30 Dn
405,2024-03-01,COL(YB),5-10CT,0.70-1.699
406,2024-03-01,COL(YB),5-10CT,0.30-0.499
407,2024-03-01,COL(YB),5-10CT,1.70 Up
408,2024-03-01,COL(YB),5-10CT,0.50-0.699
409,2024-03-01,COL(YB),5-10CT,0.30 Dn
410,2024-03-01,COL(YB),10.8,0.70-1.699
411,2024-03-01,COL(YB),10.8,0.30-0.499
412,2024-03-01,COL(YB),10.8,1.70 Up
413,2024-03-01,COL(YB),10.8,0.50-0.699
414,2024-03-01,COL(YB),10.8,0.30 Dn
415,2024-03-01,COL(YB),-3Grs,0.70-1.699
416,2024-03-01,COL(YB),-3Grs,0.30-0.499
417,2024-03-01,COL(YB),-3Grs,1.70 Up
418,2024-03-01,COL(YB),-3Grs,0.50-0.699
419,2024-03-01,COL(YB),-3Grs,0.30 Dn
420,2024-03-01,COL(YB),4-6Grs,0.70-1.699
421,2024-03-01,COL(YB),4-6Grs,0.30-0.499
422,2024-03-01,COL(YB),4-6Grs,1.70 Up
423,2024-03-01,COL(YB),4-6Grs,0.50-0.699
424,2024-03-01,COL(YB),4-6Grs,0.30 Dn
425,2024-03-01,MKBL,2-4CT,0.70-1.699
426,2024-03-01,MKBL,2-4CT,0.30-0.499
427,2024-03-01,MKBL,2-4CT,1.70 Up
428,2024-03-01,MKBL,2-4CT,0.50-0.699
429,2024-03-01,MKBL,2-4CT,0.30 Dn
430,2024-03-01,MKBL,5-10CT,0.70-1.699
431,2024-03-01,MKBL,5-10CT,0.30-0.499
432,2024-03-01,MKBL,5-10CT,1.70 Up
433,2024-03-01,MKBL,5-10CT,0.50-0.699
434,2024-03-01,MKBL,5-10CT,0.30 Dn
435,2024-03-01,MKBL,10.8,0.70-1.699
436,2024-03-01,MKBL,10.8,0.30-0.499
437,2024-03-01,MKBL,10.8,1.70 Up
438,2024-03-01,MKBL,10.8,0.50-0.699
439,2024-03-01,MKBL,10.8,0.30 Dn
440,2024-03-01,MKBL,-3Grs,0.70-1.699
441,2024-03-01,MKBL,-3Grs,0.30-0.499
442,2024-03-01,MKBL,-3Grs,1.70 Up
443,2024-03-01,MKBL,-3Grs,0.50-0.699
444,2024-03-01,MKBL,-3Grs,0.30 Dn
445,2024-03-01,MKBL,4-6Grs,0.70-1.699
446,2024-03-01,MKBL,4-6Grs,0.30-0.499
447,2024-03-01,MKBL,4-6Grs,1.70 Up
448,2024-03-01,MKBL,4-6Grs,0.50-0.699
449,2024-03-01,MKBL,4-6Grs,0.30 Dn
450,2024-03-01,CLIV,2-4CT,0.70-1.699
451,2024-03-01,CLIV,2-4CT,0.30-0.499
452,2024-03-01,CLIV,2-4CT,1.70 Up
453,2024-03-01,CLIV,2-4CT,0.50-0.699
454,2024-03-01,CLIV,2-4CT,0.30 Dn
455,2024-03-01,CLIV,5-10CT,0.70-1.699
456,2024-03-01,CLIV,5-10CT,0.30-0.499
457,2024-03-01,CLIV,5-10CT,1.70 Up
458,2024-03-01,CLIV,5-10CT,0.50-0.699
459,2024-03-01,CLIV,5-10CT,0.30 Dn
460,2024-03-01,CLIV,10.8,0.70-1.699
461,2024-03-01,CLIV,10.8,0.30-0.499
462,2024-03-01,CLIV,10.8,1.70 Up
463,2024-03-01,CLIV,10.8,0.50-0.699
464,2024-03-01,CLIV,10.8,0.30 Dn
465,2024-03-01,CLIV,-3Grs,0.70-1.699
466,2024-03-01,CLIV,-3Grs,0.30-0.499
467,2024-03-01,CLIV,-3Grs,1.70 Up
468,2024-03-01,CLIV,-3Grs,0.50-0.699
469,2024-03-01,CLIV,-3Grs,0.30 Dn
470,2024-03-01,CLIV,4-6Grs,0.70-1.699
471,2024-03-01,CLIV,4-6Grs,0.30-0.499
472,2024-03-01,CLIV,4-6Grs,1.70 Up
473,2024-03-01,CLIV,4-6Grs,0.50-0.699
474,2024-03-01,CLIV,4-6Grs,0.30 Dn
475,2024-03-01,SINGLE,2-4CT,0.70-1.699
476,2024-03-01,SINGLE,2-4CT,0.30-0.499
477,2024-03-01,SINGLE,2-4CT,1.70 Up
478,2024-03-01,SINGLE,2-4CT,0.50-0.699
479,2024-03-01,SINGLE,2-4CT,0.30 Dn
480,2024-03-01,SINGLE,5-10CT,0.70-1.699
481,2024-03-01,SINGLE,5-10CT,0.30-0.499
482,2024-03-01,SINGLE,5-10CT,1.70 Up
483,2024-03-01,SINGLE,5-10CT,0.50-0.699
484,2024-03-01,SINGLE,5-10CT,0.30 Dn
485,2024-03-01,SINGLE,10.8,0.70-1.699
486,2024-03-01,SINGLE,10.8,0.30-0.499
487,2024-03-01,SINGLE,10.8,1.70 Up
488,2024-03-01,SINGLE,10.8,0.50-0.699
489,2024-03-01,SINGLE,10.8,0.30 Dn
490,2024-03-01,SINGLE,-3Grs,0.70-1.699
491,2024-03-01,SINGLE,-3Grs,0.30-0.499
492,2024-03-01,SINGLE,-3Grs,1.70 Up
493,2024-03-01,SINGLE,-3Grs,0.50-0.699
494,2024-03-01,SINGLE,-3Grs,0.30 Dn
495,2024-03-01,SINGLE,4-6Grs,0.70-1.699
496,2024-03-01,SINGLE,4-6Grs,0.30-0.499
